time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-26 00:00:00+00:00,1,1,,
2023-11-27 00:00:00+00:00,6,4,18.0,1.0
2023-11-28 00:00:00+00:00,3,2,12.0,3.0
2023-11-29 00:00:00+00:00,5,2,47.0,5.0
2023-11-30 00:00:00+00:00,3,2,12.0,2.0
2023-12-01 00:00:00+00:00,5,3,4.0,1.0
2023-12-02 00:00:00+00:00,1,1,,
2023-12-03 00:00:00+00:00,1,1,1.0,1.0
2023-12-04 00:00:00+00:00,3,2,10.0,5.0
2023-12-05 00:00:00+00:00,14,3,35.0,4.0
2023-12-06 00:00:00+00:00,13,2,45.0,5.0
2023-12-07 00:00:00+00:00,1,1,64.0,6.0
2023-12-08 00:00:00+00:00,1,1,,
2023-12-09 00:00:00+00:00,4,1,1.0,1.0
